Date,Price,Open,High,Low,Vol.,Change %
11/20/2025,155.75,172.07,174.57,154.4,78.44M,-5.85%
11/19/2025,165.42,167.8,169.6,162.42,46.11M,-1.14%
11/18/2025,167.33,168.37,172.83,165.5,53.71M,-2.29%
11/17/2025,171.25,170.53,174.24,167.68,50.34M,-1.59%
11/14/2025,174.01,166.98,177.29,164.5,62.60M,1.09%
11/13/2025,172.14,181.71,182.7,170.73,63.19M,-6.53%
11/12/2025,184.17,190.58,190.58,180.4,55.35M,-3.56%
11/11/2025,190.96,190.34,192.93,187.13,49.82M,-1.37%
11/10/2025,193.61,184.31,194.93,183.52,87.76M,8.81%
11/7/2025,177.93,173.15,178.7,168.91,73.99M,1.65%
11/6/2025,175.05,187.99,191.09,174.53,78.47M,-6.84%
11/5/2025,187.9,189,190.32,181.21,76.12M,-1.49%
11/4/2025,190.74,192.07,195.7,185.56,121.38M,-7.94%
11/3/2025,207.18,205.04,207.52,201.82,81.02M,3.35%
10/31/2025,200.47,199.2,204.18,197.92,52.70M,3.04%
10/30/2025,194.55,198.43,199.67,194.12,43.54M,-2.14%
10/29/2025,198.81,191.08,199.85,190.49,65.54M,4.86%
10/28/2025,189.6,189.48,191.78,186.78,38.20M,0.22%
10/27/2025,189.18,188.97,192.83,187.52,47.15M,2.46%
10/24/2025,184.63,182.88,186.17,182.85,34.81M,2.30%
10/23/2025,180.48,175.45,181.56,175.01,35.81M,2.84%
10/22/2025,175.49,181.93,182.21,169.42,58.26M,-3.32%
10/21/2025,181.51,182.06,182.39,178.65,27.53M,-0.04%
10/20/2025,181.59,179.49,183.09,177.44,31.98M,1.93%
10/17/2025,178.15,177.75,181.59,173.95,43.42M,0.02%
10/16/2025,178.12,181.78,184.82,176.45,42.87M,-0.84%
10/15/2025,179.62,181.65,184.35,176.02,37.37M,-0.07%
10/14/2025,179.74,176,182.34,170.82,49.26M,1.43%
10/13/2025,177.21,178.68,179.22,173.45,41.33M,1.01%
10/10/2025,175.44,185.17,187.1,173.53,55.19M,-5.41%
10/9/2025,185.47,183.58,187.62,179.95,45.05M,1.04%
10/8/2025,183.56,182.8,184.26,181.2,36.30M,0.76%
10/7/2025,182.17,180.31,186.18,179.42,58.18M,1.47%
10/6/2025,179.53,179.18,182.95,177.83,52.50M,3.73%
10/3/2025,173.07,186.4,186.84,170.77,105.53M,-7.47%
10/2/2025,187.05,186.7,188.2,182.95,39.85M,1.14%
10/1/2025,184.95,181.32,186.28,179.5,45.72M,1.39%
9/30/2025,182.42,178.98,182.77,178.22,43.56M,1.99%
9/29/2025,178.86,179.64,181.48,177.16,38.41M,0.73%
9/26/2025,177.57,179.05,180.12,174.91,44.28M,-0.87%
9/25/2025,179.12,175.8,184.32,174.29,72.32M,-0.25%
9/24/2025,179.56,183.91,184.85,177.12,45.38M,-1.64%
9/23/2025,182.55,182.51,185.75,177.01,62.35M,1.80%
9/22/2025,179.33,180.88,182.25,178.29,45.92M,-1.68%
9/19/2025,182.39,177.07,184.42,176.71,109.13M,3.06%
9/18/2025,176.97,170.27,178.8,169.39,70.77M,5.13%
9/17/2025,168.33,169.02,169.68,161.27,69.26M,-1.13%
9/16/2025,170.26,171.04,171.31,168.96,34.60M,-0.55%
9/15/2025,171.21,169.6,171.8,167.41,45.40M,-0.13%
9/12/2025,171.43,165.35,171.53,164.01,54.50M,4.30%
9/11/2025,164.36,167.24,167.46,163.22,42.03M,-1.43%
9/10/2025,166.74,166,169,163.44,62.21M,2.70%
9/9/2025,162.36,157.25,162.75,156.37,61.36M,4.01%
9/8/2025,156.1,154.91,158.3,154.84,47.64M,1.95%
9/5/2025,153.11,157.82,158.97,148.04,81.86M,-1.94%
9/4/2025,156.14,154.87,157.04,153.16,53.29M,0.80%
9/3/2025,154.9,158,161.15,152.71,66.05M,-1.39%
9/2/2025,157.09,151.2,158.39,150.28,65.43M,0.24%
8/29/2025,156.71,156.98,158.42,153,45.27M,-0.89%
8/28/2025,158.12,157.63,158.23,152.55,57.89M,0.89%
8/27/2025,156.72,162.32,162.4,155.98,76.38M,-2.58%
8/26/2025,160.87,155.39,162.13,154.57,86.57M,2.35%
8/25/2025,157.17,156.1,158.59,149.37,86.88M,-0.99%
8/22/2025,158.74,155.32,163.2,151.77,102.10M,1.64%
8/21/2025,156.18,157.17,157.97,153.81,94.68M,0.11%
8/20/2025,156.01,152.3,156.46,142.34,220.34M,-1.10%
8/19/2025,157.75,171.36,172.3,156.9,137.92M,-9.35%
8/18/2025,174.03,175.27,177.9,171.39,62.66M,-1.77%
8/15/2025,177.17,179.73,180,173.38,60.29M,-2.13%
8/14/2025,181.02,182.41,185.33,179.2,53.47M,-1.82%
8/13/2025,184.37,189,189.46,183.59,53.61M,-1.39%
8/12/2025,186.97,184.7,190,182.1,54.98M,2.35%
8/11/2025,182.68,186.47,187.18,181.92,56.13M,-2.29%
8/8/2025,186.96,184.74,187.99,184.41,62.66M,2.61%
8/7/2025,182.2,181.01,184.48,178.17,77.83M,1.48%
8/6/2025,179.54,171.18,180.58,171.01,82.92M,3.62%
8/5/2025,173.27,171.81,176.33,169.22,130.92M,7.85%
8/4/2025,160.66,158.53,161.4,157.93,82.99M,4.14%
8/1/2025,154.27,155.05,158.19,151.06,61.29M,-2.58%
7/31/2025,158.35,159.99,160.89,156.73,45.34M,-0.16%
7/30/2025,158.61,157.37,159.38,156.56,40.26M,1.52%
7/29/2025,156.24,158.71,160.14,154.91,42.43M,-1.04%
7/28/2025,157.88,159.88,160.28,153.04,63.89M,-0.58%
7/25/2025,158.8,155.63,160.39,155.58,57.97M,2.54%
