"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2025","395.23","414.63","428.94","394.74","113.55M","-2.17%"
"11/19/2025","403.99","406.18","411.78","398.50","72.05M","0.68%"
"11/18/2025","401.25","405.38","408.90","393.71","80.69M","-1.88%"
"11/17/2025","408.92","398.74","423.96","398.74","102.21M","1.13%"
"11/14/2025","404.35","386.30","412.19","382.78","105.51M","0.59%"
"11/13/2025","401.99","423.13","424.50","396.34","118.95M","-6.64%"
"11/12/2025","430.60","442.15","442.33","426.56","58.51M","-2.05%"
"11/11/2025","439.62","439.40","442.49","432.36","60.53M","-1.26%"
"11/10/2025","445.23","439.60","449.67","433.36","76.52M","3.66%"
"11/07/2025","429.52","437.92","439.36","421.88","103.47M","-3.68%"
"11/06/2025","445.91","461.96","467.45","435.09","109.62M","-3.50%"
"11/05/2025","462.07","452.05","466.33","440.71","85.57M","4.01%"
"11/04/2025","444.26","454.46","460.22","443.60","87.76M","-5.15%"
"11/03/2025","468.37","455.99","474.07","453.80","84.60M","2.59%"
"10/31/2025","456.56","446.75","458.00","443.69","83.14M","3.74%"
"10/30/2025","440.10","451.05","455.06","439.61","72.45M","-4.64%"
"10/29/2025","461.51","462.50","465.70","452.65","67.98M","0.21%"
"10/28/2025","460.55","454.77","467.00","451.60","80.19M","1.80%"
"10/27/2025","452.42","439.98","460.16","438.69","105.87M","4.31%"
"10/24/2025","433.72","446.83","451.68","430.17","94.73M","-3.40%"
"10/23/2025","448.98","420.00","449.40","413.90","126.71M","2.28%"
"10/22/2025","438.97","443.45","445.54","429.00","84.02M","-0.82%"
"10/21/2025","442.60","445.76","449.30","442.05","54.41M","-1.08%"
"10/20/2025","447.43","443.86","449.80","440.61","63.72M","1.85%"
"10/17/2025","439.31","425.50","441.46","423.60","89.33M","2.46%"
"10/16/2025","428.75","434.73","439.35","421.31","77.19M","-1.47%"
"10/15/2025","435.15","434.90","440.51","426.33","71.56M","1.38%"
"10/14/2025","429.24","426.79","434.20","417.86","72.67M","-1.53%"
"10/13/2025","435.90","423.53","436.89","419.70","79.55M","5.42%"
"10/10/2025","413.49","436.54","443.13","411.45","112.11M","-5.06%"
"10/09/2025","435.54","431.81","436.35","426.18","69.34M","-0.72%"
"10/08/2025","438.69","437.57","441.33","425.23","71.19M","1.29%"
"10/07/2025","433.09","447.82","452.68","432.45","102.30M","-4.45%"
"10/06/2025","453.25","440.75","453.55","436.69","85.32M","5.45%"
"10/03/2025","429.83","443.29","446.77","416.58","133.19M","-1.42%"
"10/02/2025","436.00","470.54","470.75","435.57","137.01M","-5.11%"
"10/01/2025","459.46","443.80","462.29","440.75","98.12M","3.31%"
"09/30/2025","444.72","441.52","445.00","433.12","74.36M","0.34%"
"09/29/2025","443.21","444.35","450.98","439.50","79.49M","0.64%"
"09/26/2025","440.40","428.30","440.47","421.02","101.63M","4.02%"
"09/25/2025","423.39","435.24","435.35","419.08","96.75M","-4.38%"
"09/24/2025","442.79","429.83","444.21","429.03","93.13M","3.98%"
"09/23/2025","425.85","439.88","440.97","423.72","83.42M","-1.93%"
"09/22/2025","434.21","431.11","444.98","429.13","97.11M","1.91%"
"09/19/2025","426.07","421.82","429.47","421.72","93.13M","2.21%"
"09/18/2025","416.85","428.86","432.22","416.56","90.45M","-2.12%"
"09/17/2025","425.86","415.75","428.31","409.67","106.13M","1.01%"
"09/16/2025","421.62","414.49","423.25","411.43","104.29M","2.82%"
"09/15/2025","410.04","423.13","425.70","402.43","163.82M","3.56%"
"09/12/2025","395.94","370.94","396.69","370.24","168.16M","7.36%"
"09/11/2025","368.81","350.17","368.99","347.60","103.76M","6.04%"
"09/10/2025","347.79","350.55","356.33","346.07","72.12M","0.24%"
"09/09/2025","346.97","348.44","350.77","343.82","53.82M","0.16%"
"09/08/2025","346.40","354.64","358.44","344.84","75.21M","-1.27%"
"09/05/2025","350.84","348.00","355.87","344.68","108.99M","3.64%"
"09/04/2025","338.53","336.15","338.89","331.48","60.71M","1.33%"
"09/03/2025","334.09","335.20","343.33","328.51","88.73M","1.44%"
